id,wave,vd,vi,cov
2DLMPo,1,0,0,0
2DLMPo,2,NA,NA,NA
2DLMPo,3,0,0,0
2DLPnD,1,0,0,1
2DLPnD,2,0,1,3
2DLPnD,3,0,1,4
2DLYvv,1,0,1,1
2DLYvv,2,0,1,1
2DLYvv,3,0,2,1
2Dn3jR,1,0,2,14
2Dn3jR,2,0,4,11
2Dn3jR,3,0,3,11
2Dnd1W,1,0,0,11
2Dnd1W,2,0,3,12
2Dnd1W,3,0,0,10
2Dnkj1,1,0,1,1
2Dnkj1,2,NA,NA,NA
2Dnkj1,3,0,0,2
2Dnoml,1,0,2,6
2Dnoml,2,0,0,5
2Dnoml,3,0,6,3
2DO1qj,1,0,3,12
2DO1qj,2,0,4,7
2DO1qj,3,0,2,11
2DO40D,1,0,0,0
2DO40D,2,0,0,1
2DO40D,3,0,0,2
2DO46z,1,0,1,2
2DO46z,2,0,0,4
2DO46z,3,0,0,3
2DO9p1,1,0,0,1
2DO9p1,2,NA,NA,NA
2DO9p1,3,0,1,2
2DO9zz,1,NA,1,0
2DO9zz,2,0,0,0
2DO9zz,3,0,0,0
2DOaaR,1,0,1,8
2DOaaR,2,0,1,4
2DOaaR,3,NA,NA,NA
2DOKxv,1,0,1,2
2DOKxv,2,0,3,2
2DOKxv,3,0,0,4
2DOl8R,1,0,3,10
2DOl8R,2,0,2,6
2DOl8R,3,0,3,9
2DOMOW,1,0,1,2
2DOMOW,2,0,2,1
2DOMOW,3,0,2,0
2DOoaj,1,0,4,12
2DOoaj,2,0,2,14
2DOoaj,3,0,4,8
2DOopJ,1,0,3,4
2DOopJ,2,0,3,4
2DOopJ,3,0,1,6
2DOp31,1,0,3,4
2DOp31,2,0,2,2
2DOp31,3,0,1,3
2DOq1l,1,0,1,0
2DOq1l,2,0,0,0
2DOq1l,3,NA,NA,NA
2DOq6z,1,0,3,1
2DOq6z,2,0,1,2
2DOq6z,3,0,4,5
2DOq8V,1,0,0,0
2DOq8V,2,0,1,0
2DOq8V,3,0,1,0
2DOqbz,1,0,5,11
2DOqbz,2,0,5,10
2DOqbz,3,0,5,13
2DOqJv,1,0,5,11
2DOqJv,2,0,5,12
2DOqJv,3,0,4,6
2DOqJz,1,0,2,0
2DOqJz,2,0,0,0
2DOqJz,3,0,1,4
2DOqKz,1,0,1,0
2DOqKz,2,0,0,0
2DOqKz,3,0,0,0
2DOqQV,1,0,0,0
2DOqQV,2,0,1,0
2DOqQV,3,0,0,0
2DOqqW,1,0,5,1
2DOqqW,2,0,1,0
2DOqqW,3,0,0,0
2DOqRj,1,0,1,0
2DOqRj,2,0,0,0
2DOqRj,3,0,0,0
2DOqYv,1,0,3,3
2DOqYv,2,2,2,2
2DOqYv,3,0,1,0
2DOR0W,1,0,0,0
2DOR0W,2,0,0,0
2DOR0W,3,0,0,0
2DOr1j,1,0,1,12
2DOr1j,2,0,2,11
2DOr1j,3,0,1,13
2DOrJV,1,0,0,13
2DOrJV,2,0,2,7
2DOrJV,3,0,3,18
2DOrO1,1,0,1,12
2DOrO1,2,0,2,13
2DOrO1,3,0,3,21
2DORwz,1,0,1,9
2DORwz,2,0,1,8
2DORwz,3,0,4,11
2DOybW,1,0,0,0
2DOybW,2,0,0,0
2DOybW,3,0,0,2
2DOyzj,1,0,2,8
2DOyzj,2,0,0,4
2DOyzj,3,NA,NA,NA
2DOzqJ,1,1,3,16
2DOzqJ,2,1,4,10
2DOzqJ,3,2,5,11
2Dva81,1,0,0,12
2Dva81,2,0,0,8
2Dva81,3,0,0,10
2DvaJj,1,0,3,12
2DvaJj,2,0,3,10
2DvaJj,3,NA,NA,NA
2Dvamz,1,0,0,0
2Dvamz,2,0,0,0
2Dvamz,3,0,0,0
2Dvav1,1,0,0,8
2Dvav1,2,0,1,7
2Dvav1,3,0,0,13
2DvL9z,1,0,1,12
2DvL9z,2,1,2,8
2DvL9z,3,0,0,5
2DvLkz,1,0,3,3
2DvLkz,2,NA,NA,NA
2DvLkz,3,NA,NA,NA
2DvLOJ,1,0,0,0
2DvLOJ,2,NA,NA,NA
2DvLOJ,3,NA,NA,NA
2DvLwl,1,0,3,5
2DvLwl,2,0,2,7
2DvLwl,3,NA,NA,NA
2DvnnV,1,0,1,6
2DvnnV,2,0,0,6
2DvnnV,3,0,0,10
